ABUND,AREA,YR.ISOL,DIST,LDIST,GRAZE,ALT,L10DIST,L10LDIST,L10AREA,CYR.ISOL,CL10AREA,CGRAZE,RESID1,PREDICT1,AREARESY,AREARESX,GRAZRESY,GRAZRESX,YRRESY,YRRESX
53,0.1,1968,39,39,2,160,1.591064607,1.591064607,-1,18.25,-1.931934818,-0.982142857,-4.221798475,9.521798475,-16.48977754,-1.642250006,-1.31764844,-1.741370211,-4.324121916,-1.385163749
20,0.5,1920,234,234,5,60,2.369215857,2.369215857,-0.301029996,-29.75,-1.232964814,2.017857143,-1.033101765,3.033101765,-3.275035828,-0.300115953,-0.805154659,-0.13668037,-1.94230159,-12.30793867
15,0.5,1900,104,311,5,140,2.017033339,2.492760389,-0.301029996,-49.75,-1.232964814,2.017857143,-1.85564226,3.35564226,-6.688698659,-0.646975908,-1.424965338,-0.258240088,-3.808217168,-26.43222268
171,1,1966,66,66,3,160,1.819543936,1.819543936,0,16.25,-0.931934818,0.017857143,2.278827153,14.82117285,-1.778061515,-0.543074405,2.45852571,-0.107749845,3.056406846,10.52618238
138,1,1918,246,246,5,140,2.390935107,2.390935107,0,-31.75,-0.931934818,2.017857143,7.139004605,6.660995395,4.706386535,-0.325641821,6.157437314,0.588561893,6.47227658,-9.025571084
141,1,1965,234,285,3,130,2.369215857,2.45484486,0,15.25,-0.931934818,0.017857143,0.848414225,13.25158578,-5.359532775,-0.831025301,1.144089365,-0.177291075,1.890607731,14.10828886
38,1,1955,467,467,5,90,2.669316881,2.669316881,0,5.25,-0.931934818,2.017857143,-4.185824726,7.985824726,-6.603169006,-0.323597199,-6.44310279,1.353496456,-2.143408747,27.64841119
22,1,1920,284,1829,5,60,2.45331834,3.262213705,0,-29.75,-0.931934818,2.017857143,-2.426549015,4.626549015,-6.251075251,-0.511969266,-2.466848714,0.02416428,-2.728601705,-4.088920707
33,1,1965,156,156,4,130,2.193124598,2.193124598,0,15.25,-0.931934818,1.017857143,-8.613259118,11.91325912,-11.7590877,-0.421115571,-9.89556468,0.768888894,-6.886505449,23.37525557
30,1,1900,311,571,5,130,2.492760389,2.756636108,0,-49.75,-0.931934818,2.017857143,-1.806756441,4.806756441,-5.511626127,-0.495951471,-1.850812609,0.026416713,-3.592881055,-24.17896662
276,2,1926,66,332,3,210,1.819543936,2.521138084,0.301029996,-23.75,-0.630904822,0.017857143,12.96442347,14.63557653,6.828313845,-0.821408809,14.1715231,-0.723794333,11.49498912,-19.89189552
18,2,1890,93,93,5,160,1.968482949,1.968482949,0.301029996,-59.75,-0.630904822,2.017857143,-6.088605348,7.888605348,-4.734314122,0.181291862,-6.074193463,-0.008641574,-9.061708983,-40.24723303
212,2,1973,39,39,2,210,1.591064607,1.591064607,0.301029996,23.25,-0.630904822,-0.982142857,0.614448662,20.58555134,-3.409387545,-0.538649846,1.33993981,-0.435014947,1.085156291,6.372021282
146,2,1972,402,402,1,210,2.604226053,2.604226053,0.301029996,22.25,-0.630904822,-1.982142857,-6.003571144,20.60357114,-16.7882534,-1.443688842,-4.132704288,-1.121798728,-5.70494921,4.042478177
80,2,1900,259,259,5,120,2.413299764,2.413299764,0.301029996,-49.75,-0.630904822,2.017857143,0.844869799,7.155130201,1.183572936,0.045340412,0.632427217,0.127383634,-1.237746166,-28.19260287
35,2,1900,130,623,5,145,2.113943352,2.794488047,0.301029996,-49.75,-0.630904822,2.017857143,-4.167168128,7.667168128,-5.986103043,-0.243491276,-4.445798939,0.16707105,-5.897992506,-23.4303612
290,3,1962,26,26,3,110,1.414973348,1.414973348,0.477121255,12.25,-0.454813563,0.017857143,11.25625727,17.74374273,14.19988348,0.3940478,11.97765533,-0.432560677,11.17558339,-1.092091162
29,3,1965,26,26,3,140,1.414973348,1.414973348,0.477121255,15.25,-0.454813563,0.017857143,-15.65060141,18.55060141,-13.59188253,0.275589898,-15.43855153,-0.127148165,-15.36658607,3.844747104
243,4,1960,40,40,3,190,1.602059991,1.602059991,0.602059991,10.25,-0.329874827,0.017857143,4.501013757,19.79898624,5.135717038,0.084964399,4.099966758,0.24047356,4.794866266,3.977913941
194,4,1953,259,259,2,90,2.413299764,2.413299764,0.602059991,3.25,-0.329874827,-0.982142857,1.662974603,17.7370254,-0.543520472,-0.295371921,4.03112676,-1.41997816,0.709098287,-12.91272928
244,4,1973,234,519,2,220,2.369215857,2.715167358,0.602059991,23.25,-0.329874827,-0.982142857,2.805244718,21.59475528,-4.503850605,-0.978430251,2.700023306,0.063092275,4.150246964,18.20744429
50,4,1923,26,2205,5,120,1.414973348,3.343408594,0.602059991,-26.75,-0.329874827,2.017857143,-6.405263229,11.40526323,-7.191223692,-0.105212404,-7.235679932,0.497929822,-6.253444913,2.055181349
158,5,1965,39,39,3,130,1.591064607,1.591064607,0.698970004,15.25,-0.232964814,0.017857143,-3.938891648,19.73889165,-0.785375631,0.422144647,-3.929600115,-0.005571337,-3.57289483,4.954539429
253,5,1967,372,372,1,100,2.57054294,2.57054294,0.698970004,17.25,-0.232964814,-1.982142857,4.186592819,21.11340718,-0.23265569,-0.591581617,7.256096457,-1.840518615,3.554668908,-8.554423926
195,6,1890,93,226,3,170,1.968482949,2.354108439,0.77815125,-59.75,-0.153783568,0.017857143,4.766679439,14.73332056,4.071102288,-0.093113265,7.547318383,-1.667311182,0.334052272,-60.00496464
209,6,1960,159,1009,3,150,2.201397124,3.003891166,0.77815125,10.25,-0.153783568,0.017857143,2.01844786,18.88155214,-1.16736764,-0.42646841,1.678371077,0.20391494,3.124437122,14.97189907
163,7,1965,285,882,3,130,2.45484486,2.945468585,0.84509804,15.25,-0.086836778,0.017857143,-2.868867317,19.16886732,-4.893286769,-0.270998413,-3.441653581,0.343450898,-1.507739853,18.42573316
188,7,1960,133,133,4,210,2.123851641,2.123851641,0.84509804,10.25,-0.086836778,1.017857143,-0.725378253,19.52537825,0.451877634,0.15759307,-3.581565049,1.712610762,0.937616463,22.51214356
199,8,1973,266,266,4,120,2.424881637,2.424881637,0.903089987,23.25,-0.028844831,1.017857143,1.205037682,18.69496232,3.952199205,0.367748103,-1.382477234,1.551511232,3.629394514,32.81878681
130,9,1910,350,1868,5,90,2.544068044,3.271376872,0.954242509,-39.75,0.022307691,2.017857143,1.486755605,11.51324439,3.843898923,0.315538412,0.511286717,0.584905202,0.577924003,-12.302954
68,10,1962,337,519,3,110,2.527629901,2.715167358,1,12.25,0.068065182,0.017857143,-12.99756224,19.79756224,-12.34306593,0.087613988,-13.41561208,0.25066871,-12.10776417,12.04529493
217,11,1960,27,27,4,175,1.431363764,1.431363764,1.041392685,10.25,0.109457867,1.017857143,0.31396349,21.38603651,7.342737567,0.940905116,-1.92356837,1.341656348,1.27151473,12.96247714
278,12,1963,159,159,4,110,2.201397124,2.201397124,1.079181246,13.25,0.147246428,1.017857143,8.375785511,19.42421449,13.84146315,0.731661595,6.325397615,1.22944213,9.836930621,19.7796831
268,12,1960,133,133,4,200,2.123851641,2.123851641,1.079181246,10.25,0.147246428,1.017857143,5.721049128,21.07895087,8.939354069,0.430817601,2.74853296,1.78236353,7.33009334,21.78180962
166,13,1968,146,146,2,190,2.164352856,2.164352856,1.113943352,18.25,0.182008534,-0.982142857,-8.407000072,25.00700007,-8.543629578,-0.018289875,-8.354302451,-0.031598253,-7.981286107,5.762937073
304,15,1966,146,398,3,120,2.164352856,2.599883072,1.176091259,16.25,0.244156441,0.017857143,8.392201134,22.00779887,10.77357052,0.318781429,7.714477827,0.406372662,9.509465656,15.12453352
115,17,1920,389,2595,5,100,2.589949601,3.414137362,1.230448921,-29.75,0.298514103,2.017857143,-2.876179401,14.3761794,0.593439796,0.464459722,-4.740891702,1.118108367,-2.904737634,-0.386595953
260,18,1966,40,3188,2,190,1.602059991,3.503518313,1.255272505,16.25,0.323337687,-0.982142857,0.443347516,25.55665248,-3.949203823,-0.588007806,0.964989002,-0.312783752,1.578415351,15.36553893
257,19,1973,266,1302,4,150,2.424881637,3.114610984,1.278753601,23.25,0.346818783,1.017857143,4.060734104,21.6392659,5.818220668,0.235265507,0.794412446,1.958533536,7.087463993,40.97317755
127,22,1918,311,2672,5,90,2.492760389,3.426836454,1.342422681,-31.75,0.410487863,2.017857143,-2.249736877,14.94973688,2.360689661,0.617173617,-3.945870041,1.017025888,-2.476790904,-3.073655498
235,26,1963,597,597,1,140,2.775974331,2.775974331,1.414973348,13.25,0.48303853,-1.982142857,-3.127434472,26.62743447,-4.354549212,-0.164267413,-1.209386528,-1.150089188,-3.725017973,-8.089554011
249,29,1965,545,770,3,130,2.736396502,2.886490725,1.462397998,15.25,0.53046318,0.017857143,1.336875067,23.56312493,3.998043382,0.356236643,-0.061510065,0.838491877,2.666596213,18.00058234
290,32,1974,208,208,1,190,2.318063335,2.318063335,1.505149978,24.25,0.57321516,-1.982142857,-0.801288865,29.80128886,-0.622068576,0.02399128,0.151772496,-0.571469326,-0.702871387,1.332288286
283,34,1965,66,345,1,110,1.819543936,2.537819095,1.531478917,15.25,0.599544099,-1.982142857,0.217880676,28.08211932,2.336655226,0.283629235,2.906207744,-1.611959651,-0.625917478,-11.42258903
283,40,1962,285,178,2,120,2.45484486,2.250420002,1.602059991,12.25,0.670125173,-0.982142857,1.774728769,26.52527123,6.801500426,0.672907554,2.285040328,-0.305990165,1.494919801,-3.787804978
320,44,1960,93,93,3,190,1.968482949,1.968482949,1.643452676,10.25,0.711517859,0.017857143,4.991500505,27.00849949,11.62679515,0.888232089,3.320208431,1.002130812,5.539686461,7.420853964
377,48,1928,259,1297,3,120,2.413299764,3.112939976,1.681241237,-21.75,0.749306419,0.017857143,15.28417517,22.41582483,19.21076184,0.52563156,15.75935921,-0.284927194,13.95226464,-18.03022036
396,49,1972,1427,1557,1,180,3.154423973,3.192288613,1.69019608,22.25,0.758261262,-1.982142857,10.08460676,29.51539324,7.723251329,-0.316102265,10.5993474,-0.308645905,10.65247564,7.687303865
296,50,1967,398,1461,1,140,2.599883072,3.164650216,1.698970004,17.25,0.767035186,-1.982142857,0.64788028,28.95211972,-0.003126483,-0.08714686,2.247665903,-0.959254514,0.586890478,-0.825625689
310,57,1963,467,467,1,165,2.669316881,2.669316881,1.755874856,13.25,0.823940038,-1.982142857,1.172356924,29.82764308,2.278649569,0.148093593,2.494601881,-0.79283713,0.602754168,-7.71077557
344,96,1976,39,519,2,175,1.591064607,2.715167358,1.982271233,26.25,1.050336415,-0.982142857,2.445260492,31.95473951,7.239377343,0.641763275,1.8624926,0.349436026,3.690628268,16.85868144
273,108,1964,402,4426,1,70,2.604226053,3.64601141,2.033423755,14.25,1.101488938,-1.982142857,-2.24731559,29.54731559,-0.385111784,0.249283455,0.060339695,-1.383703364,-2.544763448,-4.026584575
305,134,1964,467,2213,1,160,2.669316881,3.344981414,2.127104798,14.25,1.19516998,-1.982142857,-1.639030438,32.13903044,-0.475207705,0.155794844,-0.609209108,-0.61749571,-1.708763512,-0.943984342
330,144,1940,146,319,1,190,2.164352856,2.503790683,2.158362492,-9.75,1.226427674,-1.982142857,0.811700692,32.18829931,5.267882087,0.596525628,2.813186468,-1.200119714,-1.506352672,-31.379745
295,973,1970,337,1323,1,190,2.527629901,3.121559844,2.98811284,20.25,2.056178022,-1.982142857,-10.37280195,39.87280195,-2.63596473,1.035689815,-10.80208184,0.257402411,-10.04398139,4.451280352
309,1771,1933,332,332,1,260,2.521138084,2.521138084,3.248218561,-16.75,2.316283743,-1.982142857,-9.943409707,40.84340971,0.329869688,1.375230024,-9.82506576,-0.070960736,-12.43007728,-33.66229414