SITE,HABITAT,V1GST,V2EYR,V3GF,V4BTH,V5GWH,V6WTTR,V7WEHE,V8WNHE,V9SFW,V10WBSW,V11CR,V12LK,V13RWB,V14AUR,V15STTH,V16LR,V17WPHE,V18YTH,V19ER,V20PCU,V21ESP,V22SCR,V23RBFT,V24BFCS,V25WAG,V26WWCH,V27NHHE,V28VS,V29CST,V30BTR,V31AMAG,V32SCC,V33RWH,V34WSW,V35STP,V36YFHE,V37WHIP,V38GAL,V39FHE,V40BRTH,V41SPP,V42SIL,V43GCU,V44MUSK,V45MGLK,V46BHHE,V47RFC,V48YTBC,V49LYRE,V50CHE,V51OWH,V52TRM,V53MB,V54STHR,V55LHE,V56FTC,V57PINK,V58OBO,V59YR,V60LFB,V61SPW,V62RBTR,V63DWS,V64BELL,V65LWB,V66CBW,V67GGC,V68PIL,V69SKF,V70RSL,V71PDOV,V72CRP,V73JW,V74BCHE,V75RCR,V76GBB,V77RRP,V78LLOR,V79YTHE,V80RF,V81SHBC,V82AZKF,V83SFC,V84YRTH,V85ROSE,V86BCOO,V87LFC,V88WG,V89PCOO,V90WTG,V91NMIN,V92NFB,V93DB,V94RBEE,V95HBC,V96DF,V97PCL,V98FLAME,V99WWT,V100WBWS,V101LCOR,V102KING,COMPCOR1,COMPCOR2,COMPCOR3
Minto,Mixed, 5.6,3.3,13.3,28.0,7.0, 8.3, 7.0,38.9,10.5, 7.0,14.0,5.2, 1.7,5.2,25.2, 0.0,15.4, 0.0,0.0,0.0, 3.3,0.0,10.5,0.0,0.0, 0.0, 0.0, 0.0,3.5, 0.0,6.7,80.5, 5.0, 0.0,5.0,26.7,0.0,0.0, 0.0, 0.0,5.0,17.5,0.0, 0.0,0.0, 0.0,2.8,0.0,0.0, 0.0,2.8, 0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,1.7, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37846420, 0.24309024,-0.001164642
Hawke,Mixed, 1.7,2.6, 5.5,16.0,4.3, 6.7, 3.5, 5.9, 6.7,10.0, 3.7,2.1, 0.5,1.5, 9.0, 4.8, 0.0, 0.0,0.0,2.1, 3.7,0.0, 0.0,0.7,0.0, 3.2, 0.0, 0.0,1.5, 0.0,0.0, 0.0, 4.2, 0.0,0.0, 3.2,0.0,0.0, 0.0, 5.2,3.7, 0.0,0.0, 0.0,0.0, 0.5,0.0,0.0,1.7, 0.0,0.0, 0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.7,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28194487,-0.19651058,-0.172848039
St Andrews,Foothills Wo, 4.7,3.6, 6.0,25.2,3.7, 7.5, 4.7,10.0, 0.0, 0.0, 4.0,5.1, 2.8,3.7,15.8, 3.4, 0.0, 9.0,0.0,3.7, 5.6,4.0, 0.9,0.0,0.0,10.0, 0.0, 0.0,2.7, 0.0,0.0, 0.0, 8.4, 0.0,5.1, 5.0,0.0,0.0, 0.0,10.0,5.1, 0.9,3.4, 0.0,0.0, 1.0,0.0,0.0,0.0, 0.0,0.0, 0.0,1.7,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.0, 0.0,0.0,0.0,0.0,2.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32712560,-0.54054118,-1.036128168
Nepean,Foothills Wo,14.0,5.6, 5.5,20.0,3.0, 6.6, 7.0, 3.3, 7.0,10.0, 4.7,3.3, 2.1,3.7,12.0, 2.2, 0.0, 0.0,3.7,0.0, 4.0,2.0, 0.0,1.1,0.0, 0.0, 1.1, 4.5,0.0, 0.0,0.0, 0.0, 3.3, 0.0,0.0, 1.0,0.0,0.0, 0.0, 0.0,4.7, 1.1,0.0, 0.0,0.0, 5.0,0.0,0.0,0.0, 5.6,0.0, 0.0,2.2,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56254353,-0.45965830, 0.048888832
Cape Schanck,Mixed, 6.0,4.9, 4.9,16.2,3.4, 2.6, 2.8, 9.4, 6.6, 7.8, 5.1,5.2,21.3,0.0, 0.0, 4.3, 0.0, 0.0,6.4,0.0, 4.6,0.0, 3.4,0.0,0.0, 0.0,33.3, 0.0,0.0, 0.0,0.0, 0.0, 2.6, 0.0,0.0, 3.4,0.0,0.0, 0.0, 0.0,0.0, 0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0, 5.2,0.0, 0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,32.2,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24731158,-0.42725770, 1.203619727
Balnarring,Mixed, 4.1,4.9,10.7,21.2,3.9, 0.0, 5.1, 2.9,12.1, 6.1, 0.0,2.7, 0.0,0.0, 4.9,16.5, 0.0, 0.0,9.1,0.0, 3.9,0.0, 2.7,1.0,0.0, 0.0, 4.9,10.1,0.0, 0.0,0.0, 0.0, 4.9, 0.0,0.0, 1.9,0.0,0.0, 0.0, 0.0,0.0,10.3,0.0, 0.0,0.0, 3.9,0.0,0.0,0.0, 0.0,0.0, 0.0,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,16.5,1.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,-0.16298585,-0.55114316, 0.306944073
Bittern,Gippsland Ma, 6.5,9.7, 7.8,14.4,5.2, 0.0,11.5,12.5,20.7, 4.9, 0.0,0.0,16.1,5.2, 0.0, 0.0,27.7, 0.0,2.3,0.0, 0.0,0.0, 2.3,2.3,6.3, 0.0, 2.6, 0.0,1.3, 0.0,0.0, 0.0, 0.0,12.5,2.3,19.5,0.0,0.0, 0.0, 0.0,3.5, 8.0,0.0, 0.0,0.0, 2.3,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 5.8,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.07631352,-0.50343050, 1.116786960
Bailieston,Box-Ironbark, 6.5,2.5, 5.1, 5.6,4.3, 5.7, 6.2, 6.2, 1.2, 0.0, 0.0,1.6, 5.0,4.1, 9.8, 0.0, 0.0, 8.7,0.0,0.0, 0.0,6.2, 0.0,1.6,0.0,10.0, 0.0, 2.5,0.0, 0.0,0.0, 0.0, 7.3, 0.0,0.0, 1.1,0.0,0.0, 1.2, 0.0,2.8, 0.8,0.0, 0.0,0.0,14.1,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,1.7,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.18367300,-1.40705223,-1.793070306
Donna Buang,Mixed, 1.5,0.0, 2.2, 9.6,6.7, 3.0, 8.1, 0.0, 0.0, 7.3, 8.1,1.5, 2.2,0.7, 5.2, 0.0, 0.0, 0.0,0.0,1.5, 7.4,0.0, 0.0,1.5,0.0, 0.0, 0.0, 0.0,1.5, 0.0,0.0, 0.0, 0.0, 0.0,2.2, 0.0,3.7,0.0, 0.0, 0.0,3.7, 4.4,4.4, 0.0,0.0, 0.0,0.0,3.6,3.0, 1.5,0.7, 0.0,0.0,0.0,2.2,2.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.7,4.4,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.2,0.7,0.0,0.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,-0.80547674, 1.48553872, 0.127857435
Upper Yarra,Mixed, 4.7,3.1, 7.0,17.1,8.3,12.8, 1.3, 6.4, 2.3, 5.4, 5.4,2.4, 0.6,2.3, 6.4, 0.0, 0.0, 0.0,0.0,1.3, 2.3,0.0, 6.4,0.9,0.0, 0.0, 0.0, 0.0,0.0, 0.0,0.0, 0.0, 7.0, 0.0,6.4, 3.9,0.9,0.0, 0.0, 0.0,3.9, 2.3,0.0, 0.0,0.0, 0.6,0.0,0.8,0.9, 0.9,0.0, 0.0,0.0,0.0,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7, 0.0, 0.0,0.0,0.0,0.0,1.6, 0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0, 0.0,0.0,0.0,1.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39358369, 0.07049157,-0.340402358
Gembrook,Mixed, 7.5,7.5,12.7,16.4,4.7, 6.4, 1.6, 8.9, 9.3, 6.4, 4.8,3.6,14.5,4.7,24.3, 2.4, 0.0, 0.0,3.6,0.0,26.6,4.7, 2.8,0.0,0.0, 0.0, 4.8, 9.7,0.0, 0.0,0.0, 0.0,10.9, 0.0,0.0,20.2,0.0,0.0, 0.0, 0.0,4.5, 1.8,1.8, 0.0,0.0, 5.6,0.0,5.5,0.0,11.2,0.0, 0.0,0.8,2.4,1.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,2.8,1.8,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.26561360,-0.26390010,-0.063343505
Arcadia,River Red Gu, 3.1,0.0, 1.2, 0.0,1.2, 0.0, 0.0, 1.8, 0.7, 0.0, 0.0,1.8, 0.0,2.5, 0.0, 2.7,27.6, 0.0,4.3,3.7, 0.0,0.0, 0.6,2.1,4.9, 8.0, 0.0, 0.0,1.8, 6.7,3.1,24.0, 0.0, 2.7,8.2, 0.0,0.0,4.1, 0.0, 0.0,0.0, 9.8,0.0, 0.0,3.7, 0.0,4.3,0.0,0.0, 0.0,0.0, 2.5,0.0,0.0,0.0,0.6,0.0,2.5,0.0,1.4,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,2.1,11.0,3.1,1.8,1.2,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,1.8,2.1,0.0,4.8,0.0, 2.28866529, 2.31709503,-0.313805194
Undera,River Red Gu, 2.7,0.0, 2.2, 0.0,1.3, 6.5, 0.0, 0.0, 6.5, 0.0, 0.0,0.0, 0.0,2.2, 7.5, 3.1,13.5,11.5,2.0,0.0, 0.0,0.0, 0.0,1.9,2.5, 6.5, 0.0, 3.8,0.0, 4.0,3.2,16.0, 1.5, 1.0,8.7, 0.0,0.0,8.6, 0.0, 0.0,0.0, 0.0,0.0, 0.0,1.6, 0.0,1.5,0.0,0.0, 0.0,0.0, 0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.2,1.0,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,2.1, 0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,3.1,0.0,3.1,0.0,1.5,0.0,1.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0, 1.69945690, 1.11077353,-2.458704389
Coomboona,River Red Gu, 4.4,0.0, 2.1, 0.0,0.0, 3.3, 0.0, 0.0, 0.8, 0.0, 0.0,2.8, 0.0,2.2, 3.1, 1.7,13.9, 5.6,4.6,1.1, 0.0,0.0, 0.0,6.9,3.3, 5.6, 0.0, 3.3,1.0, 4.2,5.4,30.4, 1.1, 0.0,8.1, 0.0,0.0,5.4, 0.0, 0.0,0.0, 0.0,0.0, 0.0,2.3, 0.0,2.6,0.0,0.0, 0.0,0.0, 0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.9,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,2.2, 1.1,0.0,1.1,2.8,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,5.4,0.0,1.6,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0, 1.85730825, 1.42259372,-1.269593437
Toolamba,River Red Gu, 3.0,0.0, 0.5, 0.0,0.8, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0,2.0, 0.0,2.5, 0.0, 2.5,16.0, 0.0,5.0,0.0, 0.0,0.0, 0.8,3.0,3.5, 5.0, 0.0, 0.0,0.8, 7.0,3.7,29.9, 0.0, 6.0,4.5, 0.0,0.0,7.8, 0.0, 0.0,0.0, 0.0,0.0, 0.0,1.6, 0.0,2.0,0.0,0.0, 0.0,0.0, 3.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.6,0.0,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,1.0, 5.0,0.4,0.0,0.0,1.2,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.8,1.5,0.5,0.4,0.0,0.0,0.0,2.5,0.0,0.0,0.0, 1.95765369, 1.16420447, 0.371890731
Rushworth,Box-Ironbark, 2.1,1.1, 3.2, 1.8,0.5, 4.8, 0.9, 5.3, 4.8, 0.0, 1.1,1.1,26.3,1.6, 3.2, 0.0, 0.0,10.7,3.2,0.0, 0.0,1.1, 2.7,1.1,0.0, 9.6, 0.0, 2.7,0.0, 0.0,0.0, 0.0, 4.3, 0.0,1.1,14.4,0.0,0.0, 9.6,11.7,3.2, 2.7,1.1,16.0,0.0, 9.9,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,0.0, 1.4,0.0,0.0,0.0,0.0,0.9,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.50375108,-1.28983937,-0.493308983
Sayers,Box-Ironbark, 2.6,0.0, 1.1, 7.5,1.6, 5.2, 3.6, 6.9, 6.7, 0.0, 2.7,1.6, 8.0,1.6, 7.5, 2.7, 0.0,20.2,1.1,0.0, 0.0,2.6, 0.0,0.5,0.0, 5.6, 0.0, 0.0,0.0, 0.0,0.0, 0.0, 3.7, 0.0,0.0, 8.0,0.0,0.0, 3.1, 9.1,5.7, 3.7,1.6, 3.1,0.0, 7.8,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0,1.6,0.0,0.0,0.0, 1.7,0.0,0.0,0.0,0.0,0.5,0.5,0.0, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.16360096,-1.13839824,-0.860863135
Waranga,Mixed, 3.0,1.6, 1.5, 3.0,0.0, 3.0, 0.0,14.5, 6.7, 0.0, 0.7,4.0,23.0,1.6, 0.0, 8.9,25.3, 2.2,3.4,0.0, 0.0,0.0,10.9,1.6,2.4, 8.9, 0.0, 0.0,0.7, 5.5,2.7, 0.0, 1.4, 3.4,2.7,16.3,0.0,5.9,14.8, 0.0,2.2, 0.0,0.0,20.0,0.0, 8.1,2.7,0.0,0.0, 0.0,0.0, 4.8,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,4.8, 0.0, 0.0,0.0,0.0,0.0,1.4, 0.0,0.8,0.0,0.0,0.0,0.0,0.8,4.8,10.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.4,0.0,0.7,0.0,2.1,0.0,0.0,0.0,1.6,0.0,0.0, 1.64238170,-1.37491460, 1.879588273
Costerfield,Box-Ironbark, 7.1,2.2, 4.5, 9.0,2.7, 6.0, 2.5, 7.7, 9.5, 0.0, 7.7,2.2, 8.9,1.9, 9.3, 1.1, 0.0,15.8,1.1,0.0, 0.0,5.5, 0.0,1.3,0.0, 5.7, 0.0, 3.3,1.1, 5.5,0.0, 0.0, 6.2, 0.0,6.6, 0.6,0.0,0.0,15.9,13.9,6.3, 3.9,1.6, 3.8,0.0,10.8,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,1.6,0.0,1.1,0.0,0.0,3.3,0.0,0.6, 0.0, 0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0, 0.0,6.3,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0, 0.23394912,-1.48240840,-1.250496570
Tallarook,Foothills Wo, 4.3,2.9, 8.7,14.4,2.9, 5.8, 2.8,11.1, 2.9, 0.0, 3.8,2.9, 2.9,1.9, 4.6,10.3, 0.0, 2.9,0.0,0.0, 5.8,5.6, 0.0,1.5,0.0, 2.8, 0.0, 3.8,3.4, 0.0,0.0, 0.0, 9.5, 0.0,1.9, 5.8,0.0,0.0, 0.0,30.6,8.3, 0.0,0.9, 0.0,0.0, 2.3,0.0,0.0,0.0, 0.0,0.0, 0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0, 0.0, 0.0,0.0,0.0,0.0,1.7, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.23008637,-1.33093305,-1.106860058
