C3,C4,MAP,MAT,JJAMAP,DJFMAP,LONG,LAT,LC3,LC4,CLONG,CLAT,RESID1,PREDICT1
0.65,0,199,12.4,0.12,0.45,119.55,46.4,-0.1249387366083,-1,13.1498630136987,6.29575342465754,-0.0292293336836125,-0.0957094029246875
0.65,0,469,7.5,0.24,0.29,114.27,47.32,-0.1249387366083,-1,7.86986301369868,7.21575342465754,-0.0288084949659648,-0.0961302416423352
0.76,0.01,536,7.2,0.24,0.2,110.78,45.78,-0.0655015487564323,-0.958607314841775,4.37986301369868,5.67575342465754,0.168066337472603,-0.233567886229035
0.75,0.18,476,8.2,0.35,0.15,101.87,43.95,-0.0705810742857073,-0.552841968657781,-4.53013698630132,3.84575342465754,0.323799097855755,-0.394380172141462
0.33,0.28,484,4.8,0.4,0.14,102.82,46.9,-0.366531544420413,-0.42021640338319,-3.58013698630133,6.79575342465754,-0.0969099276503992,-0.269621616770014
0.03,0.83,623,12,0.4,0.11,99.38,38.87,-0.886056647693163,-0.0315170514460649,-7.02013698630132,-1.23424657534246,-0.311000816527614,-0.575055831165549
0,0.31,259,14.5,0.47,0.17,106.75,32.62,-1,-0.387216143280265,0.349863013698680,-7.48424657534246,-0.0780555900413767,-0.921944409958623
0.02,0.87,969,15.3,0.3,0.14,96.55,36.95,-0.920818753952375,-0.0132282657337552,-9.85013698630132,-3.15424657534246,-0.310602765835014,-0.610215988117361
0.05,0.72,542,13.9,0.44,0.13,101.53,35.3,-0.823908740944319,-0.0861861476162833,-4.87013698630132,-4.80424657534246,-0.103718215731708,-0.720190525212611
0.05,0.44,421,8.5,0.31,0.14,104.6,40.82,-0.823908740944319,-0.267606240177031,-1.80013698630133,0.715753424657542,-0.307346581428892,-0.516562159515427
0.36,0.41,446,5.1,0.41,0.15,102.5,47.75,-0.337242168318426,-0.292429823902064,-3.90013698630132,7.64575342465754,-0.0972177693783221,-0.240024398940104
0,0.5,376,11.2,0.51,0.17,105.55,33.48,-1,-0.221848749616356,-0.850136986301322,-6.62424657534246,-0.141350847119886,-0.858649152880114
0.21,0.7,661,17.8,0.27,0.16,99.23,33.33,-0.508638306165727,-0.0969100130080564,-7.17013698630132,-6.77424657534246,0.244260808776541,-0.752899114942268
0.51,0.25,575,6.1,0.36,0.16,99.1,45.33,-0.214670164989233,-0.455931955649724,-7.30013698630133,5.22575342465754,0.152462598560019,-0.367132763549252
0.07,0.78,885,12.9,0.37,0.12,96.6,39.1,-0.769551078621726,-0.0555173278498314,-9.80013698630133,-1.00424657534246,-0.215446362920068,-0.554104715701659
0.29,0.7,556,8.6,0.38,0.12,101.8,41.55,-0.408935392973501,-0.0969100130080564,-4.60013698630132,1.44575342465754,0.0771544361638787,-0.48608982913738
0.05,0,344,6.6,0.18,0.35,112.67,43.73,-0.823908740944319,-1,6.26986301369868,3.62575342465754,-0.481468094865238,-0.342440646079081
0.13,0,415,6,0.22,0.33,112.15,44.25,-0.638272163982407,-1,5.74986301369869,4.14575342465754,-0.324825738975867,-0.313446425006541
0,0.31,347,18.9,0.41,0.12,102.92,29.58,-1,-0.387216143280265,-3.48013698630132,-10.5242465753425,-0.0291965152724669,-0.970803484727533
0.65,0.13,575,5.3,0.36,0.13,103.45,43.53,-0.1249387366083,-0.638272163982407,-2.95013698630132,3.42575342465754,0.277366229974973,-0.402304966583273
0,0.76,477,13.9,0.5,0.22,110.5,31.6,-1,-0.0655015487564323,4.09986301369868,-8.50424657534246,0.0536068737786551,-1.05360687377866
0.89,0,370,3.5,0.45,0.19,107.72,50.7,-0.00436480540245009,-1,1.31986301369868,10.5957534246575,0.00769734056819287,-0.0120621459706430
0.08,0.3,537,16.7,0.32,0.12,101.18,32.97,-0.744727494896694,-0.397940008672038,-5.22013698630131,-7.13424657534246,0.0561412835453495,-0.800868778442043
0.47,0.37,870,15.4,0.29,0.15,97.23,36.05,-0.244125144327509,-0.327902142064283,-9.17013698630132,-4.05424657534246,0.397643239435093,-0.641768383762602
0,0,356,7.3,0.18,0.31,113.08,41.87,-1,-1,6.67986301369868,1.76575342465754,-0.541851922124491,-0.458148077875509
0,0.42,570,12.2,0.42,0.24,109.12,32,-1,-0.283996656365201,2.71986301369869,-8.10424657534246,0.00180811220815554,-1.00180811220816
0.21,0.48,457,8.8,0.36,0.13,102.33,43.75,-0.508638306165727,-0.236572006437063,-4.07013698630132,3.64575342465754,-0.109210452285235,-0.399427853880492
0.29,0,327,9.5,0.16,0.31,113.25,38.17,-0.408935392973501,-1,6.84986301369868,-1.93424657534246,0.285119229030982,-0.694054622004483
0.35,0.31,176,13.8,0.25,0.28,111.87,37.1,-0.346787486224656,-0.387216143280265,5.46986301369869,-3.00424657534246,0.402661464737253,-0.749448950961909
0.28,0.4,345,6.4,0.46,0.14,104.47,45.03,-0.42021640338319,-0.301029995663981,-1.93013698630132,4.92575342465754,-0.0892234658751334,-0.330992937508057
0.45,0,405,5.9,0.4,0.12,116.75,39.82,-0.259637310505756,-1,10.3498630136987,-0.284246575342458,0.340376018021530,-0.600013328527286
0.31,0,375,5.7,0.16,0.29,107.17,41.42,-0.387216143280265,-1,0.769863013698682,1.31575342465754,0.101752899500749,-0.488969042781014
0.02,0.11,231,12.1,0.29,0.21,111.3,38.52,-0.920818753952375,-0.677780705266081,4.89986301369868,-1.58424657534245,-0.261088372878086,-0.659730381074290
0.49,0,723,11.2,0.14,0.34,111.95,40.17,-0.229147988357856,-1,5.54986301369868,0.0657534246575437,0.334101252204130,-0.563249240561986
0.36,0,365,6.9,0.15,0.31,114.9,39.16,-0.337242168318426,-1,8.49986301369869,-0.944246575342461,0.301391815787169,-0.638633984105595
0.01,0.95,373,11.5,0.35,0.18,104.5,38.55,-0.958607314841775,0.0211892990699381,-1.90013698630132,-1.55424657534246,-0.341998700268382,-0.616608614573393
0,0.6,733,9.4,0.23,0.37,112.35,35.27,-1,-0.154901959985743,5.94986301369867,-4.83424657534245,-0.132979210880185,-0.867020789119815
0,0.84,351,11.7,0.45,0.18,105.08,34.28,-1,-0.0268721464003014,-1.32013698630132,-5.82424657534246,-0.185912642261525,-0.814087357738476
0.63,0,244,7.2,0.2,0.29,110.38,40.47,-0.136677139879544,-1,3.97986301369868,0.365753424657541,0.40554829133539,-0.542225431214934
0.03,0,244,7.2,0.2,0.29,109.65,40.45,-0.886056647693163,-1,3.24986301369869,0.345753424657545,-0.343998067150783,-0.54205858054238
0.07,0,207,7.2,0.22,0.28,109.75,39.88,-0.769551078621726,-1,3.34986301369868,-0.224246575342455,-0.195426680704331,-0.574124397917395
0.12,0,646,10,0.11,0.36,111.87,39.92,-0.657577319177794,-1,5.46986301369869,-0.184246575342456,-0.0793438535460617,-0.578233465631732
0.36,0,593,11,0.13,0.35,111.75,40.12,-0.337242168318426,-1,5.34986301369868,0.0157534246575395,0.228543162762895,-0.565785331081321
0.63,0.15,409,7.5,0.3,0.2,106.48,45.82,-0.136677139879544,-0.602059991327962,0.0798630136986844,5.71575342465754,0.138825990696476,-0.27550313057602
0.86,0.03,409,7.5,0.3,0.2,106.48,45.87,-0.0177287669604316,-0.886056647693163,0.0798630136986844,5.76575342465754,0.255345598959894,-0.273074365920326
0.47,0.12,409,7.5,0.3,0.2,106.47,45.88,-0.244125144327509,-0.657577319177794,0.0698630136986793,5.77575342465754,0.0285677633287881,-0.272692907656297
0.58,0.05,409,7.5,0.3,0.2,106.37,45.85,-0.167491087293764,-0.823908740944319,-0.030136986301315,5.74575342465754,0.107694593530331,-0.275185680824095
0.68,0.02,495,7.9,0.32,0.17,106,45.48,-0.10790539730952,-0.920818753952375,-0.40013698630132,5.37575342465754,0.188687052409414,-0.296592449718934
0.71,0.11,717,7.5,0.34,0.15,97,43.5,-0.0915149811213503,-0.677780705266081,-9.40013698630132,3.39575342465754,0.344738885478332,-0.436253866599683
0.06,0.76,935,20.7,0.23,0.22,96.83,30.58,-0.795880017344075,-0.0655015487564323,-9.57013698630132,-9.52424657534246,-0.0119727783865976,-0.783907238957477
0.04,0.86,976,21.2,0.29,0.18,97,29,-0.853871964321762,-0.0177287669604316,-9.40013698630132,-11.1042465753425,-0.022865289638083,-0.831006674683679
0.14,0.71,1011,17.7,0.23,0.19,96,33.75,-0.619788758288394,-0.0915149811213503,-10.4001369863013,-6.35424657534246,0.0650124870253711,-0.684801245313765
0.06,0.8,823,19.5,0.2,0.21,97.17,31.33,-0.795880017344075,-0.0457574905606751,-9.23013698630132,-8.77424657534246,-0.0245082003781158,-0.771371816965959
0.34,0,207,7.2,0.22,0.28,109.83,39.66,-0.356547323513813,-1,3.42986301369868,-0.444246575342461,0.230170222498176,-0.586717546011989
0.31,0,321,6.5,0.19,0.35,110.25,40.08,-0.387216143280265,-1,3.84986301369868,-0.0242465753424597,0.177036928859014,-0.564253072139279
0.21,0,418,5.9,0.2,0.38,110.83,40.5,-0.508638306165727,-1,4.42986301369868,0.395753424657542,0.0326257006816087,-0.541264006847336
0.69,0,418,5.9,0.2,0.38,110.75,40.58,-0.102372908709559,-1,4.34986301369868,0.47575342465754,0.434100725032423,-0.536473633741982
0.48,0,270,6.9,0.21,0.27,110,40.5,-0.236572006437063,-1,3.59986301369868,0.395753424657542,0.303291434196138,-0.539863440633201
0.02,0,327,9.5,0.16,0.31,113.25,38.5,-0.920818753952375,-1,6.84986301369868,-1.60424657534246,-0.247825643563246,-0.672993110389129
0.08,0.28,327,9.5,0.16,0.31,113.25,38.5,-0.744727494896694,-0.42021640338319,6.84986301369868,-1.60424657534246,-0.071734384507565,-0.672993110389129
0.11,0.63,841,20.1,0.23,0.22,98.33,30.25,-0.677780705266081,-0.136677139879544,-8.07013698630132,-9.85424657534246,0.152143103971937,-0.829923809238019
0.11,0,332,7.8,0.12,0.4,115.75,40.33,-0.677780705266081,-1,9.34986301369868,0.225753424657540,-0.116407487533655,-0.561373217732426
0.23,0.17,421,3.9,0.29,0.18,105.28,41.12,-0.481486060122113,-0.568636235841013,-1.12013698630132,1.01575342465754,0.0219716781622865,-0.503457738284399
0.18,0.66,527,7.4,0.28,0.16,104.82,41.25,-0.552841968657781,-0.119186407719209,-1.58013698630133,1.14575342465754,-0.055346878121438,-0.497495090536343
0.05,0.68,430,9.5,0.27,0.16,105.12,42.07,-0.823908740944319,-0.10790539730952,-1.28013698630132,1.96575342465754,-0.363734243660454,-0.460174497283865
0.19,0.24,512,2,0.42,0.12,97.5,49.87,-0.537602002101044,-0.468521082957745,-8.90013698630132,9.76575342465754,-0.284475022304314,-0.25312697979673
0.48,0.4,611,4.2,0.39,0.16,96.62,47.75,-0.236572006437063,-0.301029995663981,-9.78013698630132,7.64575342465754,0.0895420694765399,-0.326114075913603
0.02,0.05,169,17.1,0.28,0.32,116.08,36.83,-0.920818753952375,-0.823908740944319,9.67986301369868,-3.27424657534246,-0.113074515647914,-0.807744238304461
0,0.04,180,15.1,0.1,0.49,117.83,36,-1,-0.853871964321762,11.4298630136987,-4.10424657534246,-0.113303486408655,-0.886696513591345
0,0,117,18.1,0.21,0.39,116.25,36.67,-1,-1,9.84986301369868,-3.43424657534246,-0.179271040873181,-0.82072895912682
0.07,0.8,789,12.9,0.34,0.13,97.62,38.75,-0.769551078621726,-0.0457574905606751,-8.78013698630132,-1.35424657534246,-0.200491781795241,-0.569059296826485
0.31,0.39,892,6.6,0.35,0.15,93.2,45.4,-0.387216143280265,-0.309803919971486,-13.2001369863013,5.29575342465754,0.0328354336939761,-0.420051576974241
0.72,0.01,352,2,0.46,0.14,106.63,52.13,-0.0861861476162833,-0.958607314841775,0.229863013698676,12.0257534246575,-0.120868984530917,0.0346828369146340
